İsim,Adres,Telefon
Boşnak Börekçi,"M. Alipaşa, Erdem Sk. No:44, 41050 İzmit/Kocaeli",Numara yok
Has Köfte,Adres yok,Numara yok
Esin Kebap & Lahmacun,Adres yok,0262 322 39 17
Serde Börek,Adres yok,Numara yok
Dayı'nın Yeri,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Tatlıses Lahmacun,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",Numara yok
Özler Et,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Aslar Kebap,Adres yok,Numara yok
Sofram Pide Bank,Adres yok,Numara yok
İşgal Kebap,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",Numara yok
Kaptan Kebap,Adres yok,Numara yok
Ciğerci,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",0262 311 22 44
Fava,Adres yok,Numara yok
Pizzaköy,Adres yok,Numara yok
Antep Kale Kebap & Pide,Adres yok,Numara yok
Cilve Yeni Nesil Meyhane,Adres yok,Numara yok
Karaca Lokantası,Adres yok,0501 007 60 41
Köfteci Yusuf,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Çorbam,"Alikahya Fatih, Kemal Sunal Cd., 41310 İzmit/Kocaeli",Numara yok
Efe Lokantası,Adres yok,0262 331 20 66
Diego Pizza,Adres yok,Numara yok
Mavi İskender & Kebap,"Karabaş, Cengiz Topel Cd. No:16, 41040 İzmit/Kocaeli",Numara yok
Bekirdere Köftecisi,Adres yok,Numara yok
Karadeniz Pide,"No:, Ovacık, Adapazarı İzmit Yolu No:32, 41140 Başiskele/Kocaeli",Numara yok
Lakehouse / Gölevi,"Yenişehir, Feyzullah İzmidi Cd. No:39, 41050 İzmit/Kocaeli",Numara yok
@Pilav,Adres yok,Numara yok
Damak Restoran,"Körfez, Liman Cd. No:54, 41245 Başiskele/Kocaeli",Numara yok
Lokanta Can Can,Adres yok,Numara yok
Duha Restaurant,Adres yok,Numara yok
Kavurmacı Çağrı,Adres yok,Numara yok
Bowl Pizza & Makarna,Adres yok,Numara yok
Kebapçı Ali,Adres yok,Numara yok
Snoopy Pizza,"Symbol Kocaeli Alışveriş Merkezi D-100 Karayolu Üzeri Ovacık Mahallesi No:34, Yemek Katı, 41100 Başiskele/Kocaeli",Numara yok
Çınar Lokantası,"Yenişehir, Demokrasi Cd. No:76, 41900 İzmit/Kocaeli",Numara yok
